TripID,TripDate,State,RouteName,VehicleType,Ridership
TRIP-27518,2023-02-27,California,Route 2,Mini,34
TRIP-31078,2025-03-13,California,Route 2,Standard,70
TRIP-30181,2024-12-07,California,Route 2,Volt,43
TRIP-34661,2022-09-13,Maryland,Route 8,HellCat,99
TRIP-22146,2025-02-20,New York,Route 5,Standard,51
TRIP-26541,2022-11-12,New York,Route 6,Mini,2
TRIP-19317,2025-11-23,Texas,Route 3,Mini,8
TRIP-25820,2022-02-22,Florida,Route 7,Mini,17
TRIP-23952,2023-11-19,California,Route 2,HellCat,29
TRIP-22058,2023-05-29,New York,Route 5,Standard,26
TRIP-18091,2025-03-01,Florida,Route 7,Volt,37
TRIP-33589,2022-06-27,Maryland,Route 8,HellCat,75
TRIP-34419,2024-06-18,Maryland,Route 8,HellCat,52
TRIP-17228,2023-02-09,New York,Route 5,Standard,50
TRIP-32665,2023-03-31,Texas,Route 3,HellCat,29
TRIP-23338,2025-11-18,California,Route 1,Standard,52
TRIP-19515,2023-06-18,California,Route 2,HellCat,38
TRIP-32389,2023-07-31,New York,Route 5,Standard,53
TRIP-16549,2023-08-12,Florida,Route 7,Volt,18
TRIP-15689,2025-04-09,Texas,Route 3,Standard,18
TRIP-16515,2022-04-04,Maryland,Route 8,Standard,40
TRIP-25765,2025-04-12,New York,Route 6,Mini,1
TRIP-24938,2022-04-02,New York,Route 5,Standard,24
TRIP-13609,2024-05-17,California,Route 1,Volt,64
TRIP-17886,2025-03-04,Texas,Route 4,Volt,48
TRIP-22402,2022-12-20,New York,Route 6,Standard,50
TRIP-12974,2025-04-09,Maryland,Route 8,Volt,47
TRIP-11915,2025-06-14,New York,Route 5,HellCat,31
TRIP-17811,2024-02-07,Colorado,Route 9,HellCat,88
TRIP-19602,2024-04-01,California,Route 1,Standard,34
TRIP-24415,2022-08-28,California,Route 2,HellCat,24
TRIP-30139,2024-12-13,Texas,Route 4,Mini,26
TRIP-16095,2022-04-02,California,Route 2,Mini,13
TRIP-17539,2025-07-14,Maryland,Route 8,HellCat,51
TRIP-21816,2024-10-29,Texas,Route 4,Mini,25
TRIP-20600,2024-06-01,New York,Route 6,Standard,14
TRIP-24798,2023-02-04,Florida,Route 7,Mini,7
TRIP-30479,2025-01-10,Florida,Route 7,Volt,37
TRIP-13710,2022-05-23,Texas,Route 4,Mini,19
TRIP-30925,2023-10-08,Florida,Route 7,Mini,4
TRIP-23609,2024-03-08,Texas,Route 3,Mini,27
TRIP-25465,2022-11-01,Texas,Route 4,Mini,17
TRIP-19994,2022-09-04,Maryland,Route 8,Standard,18
TRIP-17298,2025-02-05,California,Route 2,Mini,8
TRIP-29853,2022-05-07,Texas,Route 4,Mini,5
TRIP-16664,2024-11-05,Colorado,Route 9,Mini,16
TRIP-33885,2022-06-05,New York,Route 5,Standard,23
TRIP-11427,2023-07-22,Maryland,Route 8,Mini,8
TRIP-13077,2024-09-28,California,Route 2,HellCat,22
TRIP-27505,2022-02-13,Texas,Route 3,Mini,17
TRIP-34838,2024-12-20,Texas,Route 3,Mini,15
TRIP-13541,2024-11-20,New York,Route 6,HellCat,91
TRIP-18182,2022-08-13,Colorado,Route 9,Standard,4
TRIP-19212,2022-01-06,New York,Route 5,Volt,57
TRIP-11346,2023-10-15,Maryland,Route 8,Standard,11
TRIP-19526,2023-05-27,California,Route 2,HellCat,24
TRIP-14372,2022-10-25,California,Route 2,Standard,61
TRIP-11889,2024-07-18,California,Route 1,Standard,29
TRIP-34671,2025-07-01,California,Route 2,Standard,45
TRIP-24378,2023-12-21,Maryland,Route 8,Standard,40
TRIP-17198,2023-10-08,New York,Route 6,Volt,31
TRIP-14894,2023-06-13,Texas,Route 3,Volt,5
TRIP-12905,2023-05-29,New York,Route 5,Standard,67
TRIP-16662,2022-02-01,California,Route 1,HellCat,80
TRIP-19809,2025-01-22,Florida,Route 7,Standard,31
TRIP-15418,2023-07-28,Florida,Route 7,Standard,34
TRIP-13547,2022-04-16,Florida,Route 7,Mini,13
TRIP-22724,2023-01-29,California,Route 1,Standard,9
TRIP-23553,2025-04-26,Texas,Route 3,Mini,10
TRIP-34371,2023-10-23,New York,Route 6,HellCat,58
TRIP-21127,2023-02-10,Texas,Route 3,Mini,32
TRIP-27604,2025-03-06,California,Route 2,Mini,25
TRIP-14744,2024-11-21,Florida,Route 7,Mini,23
TRIP-28972,2025-07-25,Florida,Route 7,Standard,30
TRIP-11475,2024-09-07,Florida,Route 7,Standard,44
TRIP-31161,2023-06-24,Texas,Route 3,Standard,11
TRIP-10536,2025-08-08,Maryland,Route 8,HellCat,68
TRIP-26451,2022-08-21,New York,Route 6,HellCat,42
TRIP-26427,2025-03-16,Colorado,Route 9,Volt,38
TRIP-25252,2025-05-21,California,Route 1,Mini,25
TRIP-32275,2024-06-15,Texas,Route 3,Mini,12
TRIP-28872,2023-08-05,California,Route 1,HellCat,57
TRIP-12885,2024-08-14,California,Route 1,HellCat,55
TRIP-24587,2023-12-18,California,Route 1,Standard,64
TRIP-12842,2024-03-04,Colorado,Route 9,Volt,42
TRIP-23977,2022-10-13,New York,Route 6,Standard,35
TRIP-34634,2022-09-19,Colorado,Route 9,HellCat,79
TRIP-17117,2023-10-26,Colorado,Route 9,HellCat,46
TRIP-29069,2022-04-04,Texas,Route 3,Standard,32
TRIP-20761,2025-04-09,New York,Route 6,HellCat,37
TRIP-20840,2025-12-30,Texas,Route 3,Volt,79
TRIP-31479,2023-09-20,Texas,Route 3,Volt,51
TRIP-23620,2022-11-19,Texas,Route 4,Volt,29
TRIP-31393,2022-05-31,Texas,Route 3,HellCat,52
TRIP-17303,2025-02-01,New York,Route 5,Standard,0
TRIP-15325,2024-07-24,New York,Route 5,HellCat,88
TRIP-34696,2023-07-15,Colorado,Route 9,Standard,23
TRIP-13673,2024-11-23,Texas,Route 4,Volt,19
TRIP-26674,2022-02-27,New York,Route 5,HellCat,34
TRIP-22365,2022-01-29,Colorado,Route 9,Standard,12
TRIP-18274,2022-06-06,Maryland,Route 8,Mini,23
TRIP-10959,2022-03-06,Texas,Route 4,Mini,8
TRIP-22396,2025-04-10,Texas,Route 3,Mini,25
TRIP-11818,2025-06-07,New York,Route 5,Mini,1
TRIP-24279,2022-07-23,Colorado,Route 9,Standard,24
TRIP-27917,2025-08-25,Maryland,Route 8,HellCat,57
TRIP-15076,2023-03-31,Florida,Route 7,Volt,57
TRIP-26790,2025-10-03,New York,Route 5,Standard,59
TRIP-11747,2025-10-21,Florida,Route 7,HellCat,33
TRIP-10323,2025-06-09,California,Route 2,Standard,20
TRIP-20296,2022-07-12,Colorado,Route 9,HellCat,66
TRIP-22750,2023-07-11,Texas,Route 3,Mini,26
TRIP-20012,2025-03-10,Colorado,Route 9,Mini,16
TRIP-29762,2023-06-30,California,Route 1,HellCat,64
TRIP-32707,2023-09-25,California,Route 2,Standard,64
TRIP-13784,2022-11-24,Texas,Route 4,Standard,33
TRIP-30798,2025-06-12,New York,Route 5,HellCat,62
TRIP-33768,2024-11-08,New York,Route 6,HellCat,62
TRIP-18483,2023-05-13,California,Route 1,HellCat,11
TRIP-34716,2022-04-09,Texas,Route 3,Standard,27
TRIP-23836,2023-08-02,New York,Route 6,HellCat,78
TRIP-12281,2022-04-04,Florida,Route 7,Volt,24
TRIP-23514,2024-01-11,Florida,Route 7,Mini,14
TRIP-31714,2022-11-30,California,Route 2,Standard,12
TRIP-34101,2024-05-29,Florida,Route 7,Volt,42
TRIP-28999,2023-03-26,Texas,Route 3,Standard,26
TRIP-20462,2025-02-18,Texas,Route 3,Standard,67
TRIP-34825,2025-07-11,New York,Route 5,HellCat,105
TRIP-16815,2022-06-01,New York,Route 5,Standard,70
TRIP-26798,2022-09-21,California,Route 1,Standard,40
TRIP-17955,2022-07-16,Florida,Route 7,Mini,8
TRIP-14293,2024-02-16,Florida,Route 7,Mini,30
TRIP-16244,2025-01-17,Florida,Route 7,Mini,25
TRIP-32931,2022-08-24,California,Route 1,Mini,26
TRIP-14519,2025-08-04,Texas,Route 3,Standard,45
TRIP-25259,2024-02-26,California,Route 2,Mini,24
TRIP-30014,2023-11-22,Maryland,Route 8,HellCat,84
TRIP-13843,2025-11-24,Texas,Route 3,HellCat,85
TRIP-33908,2022-01-25,New York,Route 6,HellCat,68
TRIP-32927,2022-05-17,New York,Route 5,Standard,36
TRIP-12851,2022-10-20,Texas,Route 4,Volt,41
TRIP-22570,2024-01-03,New York,Route 5,HellCat,101
TRIP-23073,2024-11-18,Texas,Route 3,Standard,35
TRIP-15815,2024-11-06,Colorado,Route 9,Standard,37
TRIP-22591,2024-10-09,Colorado,Route 9,Standard,43
TRIP-18157,2023-12-09,Colorado,Route 9,Standard,33
TRIP-19153,2022-07-24,New York,Route 5,HellCat,34
TRIP-16379,2022-08-01,Colorado,Route 9,Standard,45
TRIP-25443,2025-12-29,Colorado,Route 9,Mini,25
TRIP-10397,2022-07-19,Florida,Route 7,Mini,14
TRIP-16878,2023-11-02,Texas,Route 4,Mini,18
TRIP-31803,2025-02-21,California,Route 2,Standard,29
TRIP-11201,2025-11-20,New York,Route 5,Volt,61
TRIP-16384,2023-12-27,Colorado,Route 9,Standard,37
TRIP-18550,2022-06-07,Texas,Route 3,HellCat,40
TRIP-10516,2025-08-16,Colorado,Route 9,HellCat,24
TRIP-13588,2023-04-02,California,Route 1,Mini,8
TRIP-12250,2023-05-26,New York,Route 5,HellCat,66
TRIP-28161,2024-07-10,Florida,Route 7,Mini,21
TRIP-11457,2022-09-16,California,Route 2,Mini,10
TRIP-14556,2023-01-13,Texas,Route 3,Standard,55
TRIP-17516,2023-01-08,Florida,Route 7,Volt,39
TRIP-30975,2022-06-30,Texas,Route 4,Mini,11
TRIP-28688,2023-07-12,Texas,Route 4,Mini,14
TRIP-23758,2023-03-06,Florida,Route 7,Standard,47
TRIP-13351,2022-01-01,Texas,Route 3,Standard,17
TRIP-29137,2024-02-18,Florida,Route 7,HellCat,19
TRIP-12168,2024-05-12,Colorado,Route 9,Volt,31
TRIP-32511,2024-03-19,Colorado,Route 9,Volt,57
TRIP-15474,2022-11-17,New York,Route 5,Standard,51
TRIP-22136,2024-11-29,New York,Route 6,HellCat,61
TRIP-16599,2023-01-01,New York,Route 6,Standard,16
TRIP-27355,2025-12-01,Florida,Route 7,Mini,21
TRIP-13189,2023-08-07,Texas,Route 4,Mini,25
TRIP-11056,2025-08-13,Texas,Route 3,Mini,27
TRIP-26811,2022-08-18,Colorado,Route 9,Standard,44
TRIP-30027,2024-10-15,Maryland,Route 8,Volt,55
TRIP-23169,2024-01-17,Texas,Route 4,Volt,49
TRIP-20772,2023-02-14,California,Route 2,HellCat,74
TRIP-18240,2022-05-12,Texas,Route 3,Standard,43
TRIP-14520,2024-09-10,Florida,Route 7,Mini,16
TRIP-15098,2022-06-18,California,Route 1,HellCat,30
TRIP-23365,2022-02-21,Texas,Route 4,HellCat,53
TRIP-24417,2022-10-09,Maryland,Route 8,Mini,3
TRIP-25794,2024-12-27,California,Route 1,Standard,66
TRIP-34238,2023-03-08,Texas,Route 4,Volt,31
TRIP-13634,2022-11-13,California,Route 1,HellCat,53
TRIP-17841,2022-08-30,Florida,Route 7,HellCat,71
TRIP-29587,2022-02-16,California,Route 1,Volt,85
TRIP-33284,2022-03-10,New York,Route 6,HellCat,61
TRIP-10852,2023-02-10,Texas,Route 3,HellCat,92
TRIP-30728,2025-09-21,California,Route 2,HellCat,39
TRIP-28008,2023-11-14,New York,Route 6,Standard,52
TRIP-22431,2024-11-02,Colorado,Route 9,Standard,9
TRIP-16069,2025-01-09,Texas,Route 4,HellCat,65
TRIP-34526,2023-04-18,Texas,Route 3,HellCat,79
TRIP-16874,2023-08-26,New York,Route 5,Volt,31
TRIP-34185,2022-07-07,Florida,Route 7,Mini,13
TRIP-34555,2023-03-31,Texas,Route 3,HellCat,77
TRIP-15117,2022-03-31,New York,Route 5,Volt,85
TRIP-29634,2022-08-07,California,Route 2,Mini,9
TRIP-25666,2024-09-04,New York,Route 5,HellCat,102
TRIP-12559,2025-04-05,New York,Route 5,Standard,31
TRIP-33919,2024-04-05,New York,Route 5,Standard,42
TRIP-12748,2023-02-03,Colorado,Route 9,Standard,35
TRIP-21988,2023-03-23,Maryland,Route 8,Volt,36
TRIP-28927,2022-02-15,Florida,Route 7,HellCat,75
TRIP-16210,2023-01-24,California,Route 1,HellCat,61
TRIP-19942,2024-05-02,New York,Route 5,Standard,21
TRIP-30537,2022-09-26,Texas,Route 3,Mini,20
TRIP-33808,2023-04-23,California,Route 2,HellCat,19
TRIP-20628,2024-10-15,California,Route 1,HellCat,97
TRIP-27288,2023-07-02,Colorado,Route 9,Standard,20
TRIP-15923,2022-04-05,California,Route 1,Standard,27
TRIP-28216,2023-07-25,Texas,Route 4,Standard,32
TRIP-18900,2022-12-18,Texas,Route 3,Mini,10
TRIP-28006,2024-04-24,New York,Route 6,Standard,14
TRIP-31113,2023-09-04,California,Route 2,HellCat,42
TRIP-14442,2023-08-27,Colorado,Route 9,HellCat,30
TRIP-12346,2023-10-28,California,Route 1,Volt,17
TRIP-12325,2023-06-26,Colorado,Route 9,HellCat,65
TRIP-10283,2022-03-26,New York,Route 5,Mini,10
TRIP-28358,2023-10-26,Colorado,Route 9,HellCat,58
TRIP-34768,2024-04-13,Texas,Route 3,Mini,2
TRIP-31299,2023-02-21,New York,Route 6,Mini,15
TRIP-30019,2022-01-09,Texas,Route 3,Mini,7
TRIP-11684,2022-11-02,Florida,Route 7,Standard,33
TRIP-16625,2025-09-18,California,Route 2,Standard,34
TRIP-27008,2024-11-03,Florida,Route 7,Standard,22
TRIP-14410,2025-02-05,New York,Route 5,HellCat,105
TRIP-18141,2022-01-25,New York,Route 6,HellCat,66
TRIP-18858,2025-10-23,California,Route 2,Standard,46
TRIP-33986,2025-01-16,Florida,Route 7,Volt,45
TRIP-21242,2022-04-09,California,Route 2,Standard,31
TRIP-26425,2024-03-18,New York,Route 6,HellCat,56
TRIP-19653,2024-05-05,Florida,Route 7,HellCat,45
TRIP-22034,2023-09-22,Florida,Route 7,Mini,10
TRIP-32809,2024-11-10,Maryland,Route 8,Volt,42
TRIP-31134,2023-06-21,Colorado,Route 9,Mini,6
TRIP-22273,2023-09-11,California,Route 2,HellCat,51
TRIP-20228,2024-07-15,New York,Route 6,HellCat,70
TRIP-10963,2025-06-28,New York,Route 5,HellCat,55
TRIP-31216,2023-07-14,Texas,Route 3,Standard,48
TRIP-22536,2022-09-14,Texas,Route 4,Mini,30
TRIP-11103,2025-05-13,Texas,Route 3,Mini,20
TRIP-31251,2023-12-28,Texas,Route 3,Mini,28
TRIP-22606,2024-10-06,Florida,Route 7,Mini,14
TRIP-13277,2024-06-09,Colorado,Route 9,Mini,9
TRIP-10626,2025-02-22,Texas,Route 3,Volt,30
TRIP-29985,2023-12-16,California,Route 1,HellCat,45
TRIP-20981,2022-02-06,California,Route 1,Standard,20
TRIP-26804,2022-12-02,California,Route 1,HellCat,90
TRIP-16847,2022-12-10,Texas,Route 3,Standard,0
TRIP-16308,2023-08-07,Florida,Route 7,Mini,12
TRIP-15934,2023-02-01,New York,Route 6,Standard,23
TRIP-25559,2024-10-12,New York,Route 5,Mini,11
TRIP-30987,2025-12-26,California,Route 2,Standard,40
TRIP-29449,2024-04-21,Colorado,Route 9,Standard,26
TRIP-23978,2023-05-21,Texas,Route 4,Volt,17
TRIP-33684,2023-02-21,Maryland,Route 8,Standard,55
TRIP-32121,2022-12-16,Texas,Route 3,Volt,59
TRIP-13463,2023-07-09,Texas,Route 3,Mini,13
TRIP-20752,2023-11-16,Maryland,Route 8,HellCat,51
TRIP-18743,2025-08-29,California,Route 1,Standard,39
TRIP-20670,2023-08-01,New York,Route 5,HellCat,55
TRIP-21924,2022-12-04,Texas,Route 3,HellCat,35
TRIP-20422,2023-11-18,Texas,Route 4,Standard,26
TRIP-15496,2023-10-23,California,Route 1,Standard,52
TRIP-20372,2025-02-24,New York,Route 6,Standard,43
TRIP-12084,2023-10-01,New York,Route 5,HellCat,42
TRIP-14084,2023-03-08,California,Route 1,Standard,60
TRIP-16830,2024-04-03,Maryland,Route 8,HellCat,56
TRIP-18528,2025-09-04,Maryland,Route 8,Mini,35
TRIP-12009,2023-07-18,California,Route 2,HellCat,67
TRIP-28518,2025-04-27,California,Route 1,Standard,24
TRIP-10259,2024-12-04,California,Route 2,Standard,43
TRIP-23287,2025-06-24,California,Route 2,Standard,43
TRIP-17907,2022-05-13,Texas,Route 3,Mini,14
TRIP-33670,2023-06-09,Colorado,Route 9,Standard,36
TRIP-30190,2025-12-19,Colorado,Route 9,Standard,23
TRIP-32302,2024-11-02,Florida,Route 7,Mini,8
TRIP-32502,2023-01-06,California,Route 1,Standard,48
TRIP-31589,2023-02-16,California,Route 1,Standard,44
TRIP-24982,2024-08-12,Texas,Route 3,Volt,53
TRIP-19826,2025-09-08,Texas,Route 3,Standard,30
TRIP-11940,2022-04-14,Colorado,Route 9,Standard,39
TRIP-20244,2023-01-14,California,Route 1,Standard,27
TRIP-23838,2022-02-27,California,Route 1,Volt,51
TRIP-33119,2023-03-13,Colorado,Route 9,Standard,41
TRIP-29407,2024-04-06,Texas,Route 4,Standard,25
TRIP-21316,2023-04-20,New York,Route 6,Standard,47
TRIP-32548,2024-07-23,California,Route 1,Standard,63
TRIP-13686,2022-04-16,Maryland,Route 8,HellCat,57
TRIP-26510,2024-01-11,California,Route 2,Standard,55
TRIP-26543,2023-08-29,Colorado,Route 9,Standard,48
TRIP-31460,2023-04-03,New York,Route 5,Volt,67
TRIP-18341,2025-01-16,Florida,Route 7,HellCat,87
TRIP-18010,2025-07-15,New York,Route 5,Standard,44
TRIP-15929,2024-03-22,Colorado,Route 9,Standard,51
TRIP-20063,2022-07-07,Florida,Route 7,HellCat,53
TRIP-12136,2024-10-30,California,Route 2,Mini,20
TRIP-30853,2025-07-15,New York,Route 6,HellCat,60
TRIP-27895,2024-06-10,New York,Route 6,Volt,54
TRIP-11834,2023-10-14,California,Route 2,Standard,20
TRIP-21063,2023-03-13,California,Route 1,HellCat,102
TRIP-17090,2023-05-24,California,Route 1,Standard,36
TRIP-26397,2025-12-19,New York,Route 5,Standard,64
TRIP-17706,2024-07-06,Florida,Route 7,Volt,23
TRIP-10099,2024-10-02,Maryland,Route 8,Standard,42
TRIP-33463,2022-07-10,Maryland,Route 8,Standard,30
TRIP-23019,2022-04-25,New York,Route 6,Mini,18
TRIP-23995,2022-08-08,Colorado,Route 9,Standard,37
TRIP-14157,2023-04-11,New York,Route 5,HellCat,70
TRIP-17719,2023-01-02,Florida,Route 7,Mini,13
TRIP-30579,2023-05-07,California,Route 1,Standard,18
TRIP-15627,2025-09-13,Florida,Route 7,Volt,17
TRIP-18158,2024-11-28,New York,Route 5,Standard,46
TRIP-14596,2024-02-09,California,Route 1,Standard,38
TRIP-18818,2024-04-20,Florida,Route 7,Mini,8
TRIP-33360,2025-11-12,New York,Route 6,Volt,85
TRIP-18757,2023-02-02,New York,Route 5,HellCat,79
TRIP-34532,2024-10-26,Florida,Route 7,HellCat,17
TRIP-32280,2023-02-10,New York,Route 6,Mini,24
TRIP-34440,2024-10-26,Florida,Route 7,HellCat,27
TRIP-18993,2022-05-31,California,Route 2,HellCat,42
TRIP-20321,2023-08-26,California,Route 1,Mini,20
TRIP-25797,2024-08-12,Colorado,Route 9,Mini,25
TRIP-13265,2024-04-16,California,Route 1,HellCat,55
TRIP-28242,2022-07-10,California,Route 1,Volt,31
TRIP-16561,2025-01-15,Colorado,Route 9,Mini,16
TRIP-26276,2024-08-09,California,Route 2,Standard,61
TRIP-25832,2022-08-03,New York,Route 6,Volt,64
TRIP-19489,2022-06-19,Florida,Route 7,Mini,9
TRIP-30889,2023-01-10,Colorado,Route 9,Standard,42
TRIP-16692,2024-07-13,Texas,Route 4,HellCat,41
TRIP-29052,2025-09-24,Maryland,Route 8,HellCat,68
TRIP-31957,2025-05-09,Florida,Route 7,Mini,6
TRIP-16390,2022-06-29,Florida,Route 7,Mini,24
TRIP-30833,2025-04-29,Texas,Route 4,Mini,9
TRIP-10346,2024-11-09,California,Route 1,HellCat,46
TRIP-18203,2025-03-14,Texas,Route 3,HellCat,72
TRIP-29102,2025-06-03,New York,Route 6,Standard,53
TRIP-19853,2024-05-07,Texas,Route 3,Standard,35
TRIP-21973,2025-09-30,Texas,Route 3,HellCat,65
TRIP-10250,2023-11-04,Texas,Route 3,HellCat,22
TRIP-10718,2023-02-25,Texas,Route 4,Mini,9
TRIP-34465,2025-05-15,California,Route 1,HellCat,19
TRIP-14097,2023-02-13,Maryland,Route 8,HellCat,78
TRIP-32646,2024-07-08,Colorado,Route 9,Mini,7
TRIP-28638,2025-09-17,Florida,Route 7,Volt,48
TRIP-33824,2024-04-20,California,Route 1,Volt,39
TRIP-19355,2022-08-16,Texas,Route 3,Volt,51
TRIP-20229,2025-08-19,Florida,Route 7,Mini,21
TRIP-28183,2025-12-16,Texas,Route 3,Mini,14
TRIP-30045,2024-05-31,Florida,Route 7,Standard,35
TRIP-18029,2025-10-26,Texas,Route 3,Mini,15
TRIP-33261,2023-09-23,Florida,Route 7,Mini,14
TRIP-21753,2022-03-07,Florida,Route 7,Mini,12
TRIP-17536,2022-12-26,New York,Route 5,HellCat,60
TRIP-22650,2024-07-22,Maryland,Route 8,Mini,23
TRIP-11972,2023-08-09,Colorado,Route 9,Standard,45
TRIP-14564,2024-08-13,California,Route 2,HellCat,72
TRIP-27945,2022-01-02,New York,Route 6,HellCat,49
TRIP-14950,2024-05-16,Maryland,Route 8,Standard,40
TRIP-23199,2024-08-29,Texas,Route 3,HellCat,82
TRIP-19889,2025-08-05,Colorado,Route 9,Mini,20
TRIP-21214,2023-05-11,Maryland,Route 8,Volt,32
TRIP-10075,2024-02-08,Colorado,Route 9,Standard,49
TRIP-11147,2024-07-28,Texas,Route 3,Mini,9
TRIP-32394,2025-02-13,California,Route 2,Volt,31
TRIP-18022,2025-03-19,New York,Route 5,Mini,19
TRIP-34901,2024-04-12,Texas,Route 3,HellCat,49
TRIP-10034,2025-05-23,Texas,Route 4,HellCat,59
TRIP-14579,2022-09-01,Maryland,Route 8,Standard,18
TRIP-12209,2024-12-03,Colorado,Route 9,HellCat,81
TRIP-30041,2024-10-15,Colorado,Route 9,Mini,23
TRIP-18156,2025-10-06,Maryland,Route 8,Volt,57
TRIP-27789,2025-01-07,New York,Route 6,Standard,70
TRIP-15114,2023-01-11,Maryland,Route 8,Standard,49
TRIP-26069,2024-10-12,Texas,Route 3,Mini,12
TRIP-19300,2023-03-07,New York,Route 5,HellCat,37
